item_id,date,sell_price,day_of_week,month,year,demand_lag_1,demand_lag_7,rolling_mean_7,rolling_mean_28
HOUSEHOLD_1_348,2016-05-22,1.86,6,5,2016,2.0,0.0,0.8571428571428571,2.25
HOBBIES_1_231,2016-05-22,6.87,6,5,2016,1.0,2.0,0.7142857142857143,0.7142857142857143
HOUSEHOLD_1_276,2016-05-22,17.97,6,5,2016,0.0,0.0,0.2857142857142857,0.14285714285714285
HOUSEHOLD_1_272,2016-05-22,9.97,6,5,2016,11.0,12.0,8.285714285714286,7.285714285714286
HOUSEHOLD_1_278,2016-05-22,5.97,6,5,2016,0.0,0.0,0.5714285714285714,0.5357142857142857
HOBBIES_1_230,2016-05-22,4.48,6,5,2016,1.0,0.0,0.14285714285714285,0.10714285714285714
HOBBIES_2_111,2016-05-22,3.97,6,5,2016,0.0,0.0,0.0,0.03571428571428571
HOBBIES_1_236,2016-05-22,11.88,6,5,2016,3.0,0.0,1.2857142857142858,0.32142857142857145
HOBBIES_1_153,2016-05-22,6.38,6,5,2016,1.0,3.0,1.2857142857142858,1.7142857142857142
HOUSEHOLD_1_471,2016-05-22,2.74,6,5,2016,2.0,2.0,1.5714285714285714,1.5714285714285714
HOBBIES_1_154,2016-05-22,2.88,6,5,2016,2.0,2.0,2.142857142857143,1.6785714285714286
HOUSEHOLD_1_004,2016-05-22,2.36,6,5,2016,7.0,4.0,3.0,1.8571428571428572
HOBBIES_1_227,2016-05-22,1.97,6,5,2016,1.0,0.0,0.5714285714285714,0.25
HOUSEHOLD_1_277,2016-05-22,0.97,6,5,2016,0.0,0.0,0.0,0.10714285714285714
HOBBIES_2_110,2016-05-22,5.97,6,5,2016,0.0,0.0,0.0,0.07142857142857142
HOUSEHOLD_2_026,2016-05-22,3.97,6,5,2016,0.0,0.0,0.0,0.14285714285714285
HOBBIES_1_237,2016-05-22,7.98,6,5,2016,0.0,0.0,0.7142857142857143,0.6428571428571429
HOUSEHOLD_1_014,2016-05-22,17.97,6,5,2016,1.0,1.0,0.7142857142857143,0.42857142857142855
HOUSEHOLD_1_457,2016-05-22,10.47,6,5,2016,8.0,2.0,2.7142857142857144,1.9285714285714286
HOUSEHOLD_1_331,2016-05-22,4.88,6,5,2016,0.0,2.0,0.42857142857142855,0.42857142857142855
HOUSEHOLD_2_048,2016-05-22,3.94,6,5,2016,0.0,0.0,0.14285714285714285,0.5
HOUSEHOLD_1_016,2016-05-22,4.88,6,5,2016,3.0,2.0,1.5714285714285714,1.1785714285714286
HOUSEHOLD_1_046,2016-05-22,3.78,6,5,2016,3.0,5.0,3.2857142857142856,1.6428571428571428
HOUSEHOLD_1_333,2016-05-22,2.97,6,5,2016,1.0,0.0,0.7142857142857143,0.5714285714285714
HOBBIES_2_112,2016-05-22,2.47,6,5,2016,0.0,0.0,0.2857142857142857,0.17857142857142858
HOUSEHOLD_1_366,2016-05-22,5.96,6,5,2016,0.0,0.0,0.0,0.0
HOUSEHOLD_1_451,2016-05-22,6.98,6,5,2016,0.0,0.0,0.14285714285714285,0.75
HOBBIES_1_152,2016-05-22,4.86,6,5,2016,0.0,0.0,0.14285714285714285,0.42857142857142855
HOUSEHOLD_1_015,2016-05-22,5.88,6,5,2016,0.0,1.0,0.2857142857142857,0.10714285714285714
HOBBIES_1_233,2016-05-22,0.7,6,5,2016,0.0,0.0,0.0,0.8928571428571429
HOUSEHOLD_2_027,2016-05-22,4.97,6,5,2016,0.0,0.0,0.0,0.10714285714285714
HOBBIES_2_109,2016-05-22,0.97,6,5,2016,3.0,0.0,0.42857142857142855,0.42857142857142855
HOBBIES_1_229,2016-05-22,6.47,6,5,2016,0.0,0.0,0.0,0.0
HOUSEHOLD_1_365,2016-05-22,4.17,6,5,2016,1.0,1.0,0.8571428571428571,0.8928571428571429
HOUSEHOLD_1_048,2016-05-22,2.84,6,5,2016,5.0,5.0,3.142857142857143,1.9285714285714286
HOUSEHOLD_1_045,2016-05-22,2.67,6,5,2016,3.0,3.0,2.0,1.75
HOUSEHOLD_1_275,2016-05-22,2.97,6,5,2016,5.0,3.0,3.142857142857143,2.642857142857143
HOUSEHOLD_1_334,2016-05-22,0.97,6,5,2016,9.0,3.0,5.857142857142857,4.0
HOBBIES_1_232,2016-05-22,0.48,6,5,2016,0.0,19.0,3.0,2.0714285714285716
HOUSEHOLD_2_047,2016-05-22,3.67,6,5,2016,1.0,1.0,1.0,0.7857142857142857
HOUSEHOLD_1_332,2016-05-22,9.74,6,5,2016,2.0,2.0,1.5714285714285714,1.3571428571428572
HOUSEHOLD_1_470,2016-05-22,2.98,6,5,2016,1.0,0.0,0.14285714285714285,0.39285714285714285
HOUSEHOLD_1_279,2016-05-22,0.97,6,5,2016,0.0,0.0,0.8571428571428571,1.1071428571428572
HOBBIES_1_155,2016-05-22,18.98,6,5,2016,2.0,9.0,3.0,3.2142857142857144
HOUSEHOLD_2_025,2016-05-22,5.47,6,5,2016,2.0,0.0,0.5714285714285714,0.42857142857142855
HOBBIES_2_108,2016-05-22,2.97,6,5,2016,0.0,0.0,0.0,0.17857142857142858
HOUSEHOLD_1_274,2016-05-22,4.94,6,5,2016,0.0,1.0,0.42857142857142855,0.4642857142857143
HOBBIES_1_228,2016-05-22,6.87,6,5,2016,1.0,1.0,0.7142857142857143,1.0357142857142858
HOUSEHOLD_1_003,2016-05-22,8.97,6,5,2016,2.0,1.0,0.5714285714285714,0.5
HOBBIES_1_151,2016-05-22,5.47,6,5,2016,0.0,1.0,0.7142857142857143,0.5357142857142857
HOUSEHOLD_1_439,2016-05-22,0.98,6,5,2016,10.0,5.0,4.857142857142857,2.107142857142857
HOUSEHOLD_1_002,2016-05-22,5.97,6,5,2016,2.0,0.0,0.7142857142857143,0.5
HOBBIES_1_235,2016-05-22,12.98,6,5,2016,5.0,0.0,0.7142857142857143,0.6071428571428571
HOUSEHOLD_1_047,2016-05-22,4.23,6,5,2016,2.0,1.0,0.7142857142857143,0.6428571428571429
HOUSEHOLD_1_347,2016-05-22,7.97,6,5,2016,0.0,0.0,0.0,0.8571428571428571
HOBBIES_1_234,2016-05-22,0.3,6,5,2016,6.0,0.0,0.8571428571428571,4.142857142857143
HOUSEHOLD_1_313,2016-05-22,3.97,6,5,2016,1.0,3.0,1.1428571428571428,0.8214285714285714
HOBBIES_2_107,2016-05-22,0.5,6,5,2016,1.0,0.0,0.2857142857142857,0.25
HOUSEHOLD_1_454,2016-05-22,2.97,6,5,2016,2.0,1.0,1.2857142857142858,0.6785714285714286
HOUSEHOLD_1_341,2016-05-22,4.88,6,5,2016,0.0,0.0,0.2857142857142857,0.35714285714285715
HOBBIES_2_098,2016-05-22,0.88,6,5,2016,0.0,0.0,0.14285714285714285,0.6071428571428571
HOBBIES_1_143,2016-05-22,7.98,6,5,2016,0.0,0.0,0.14285714285714285,0.25
HOUSEHOLD_1_260,2016-05-22,2.97,6,5,2016,0.0,0.0,0.0,0.10714285714285714
HOUSEHOLD_1_055,2016-05-22,3.88,6,5,2016,4.0,0.0,1.5714285714285714,1.5714285714285714
HOUSEHOLD_2_020,2016-05-22,8.47,6,5,2016,0.0,0.0,0.2857142857142857,0.14285714285714285
HOUSEHOLD_2_050,2016-05-22,8.48,6,5,2016,0.0,2.0,0.5714285714285714,0.39285714285714285
HOBBIES_1_251,2016-05-22,15.83,6,5,2016,0.0,0.0,0.0,0.42857142857142855
HOBBIES_2_099,2016-05-22,0.97,6,5,2016,0.0,0.0,0.14285714285714285,0.17857142857142858
HOUSEHOLD_1_261,2016-05-22,5.97,6,5,2016,2.0,0.0,0.7142857142857143,0.6785714285714286
HOBBIES_1_252,2016-05-22,0.68,6,5,2016,0.0,4.0,0.7142857142857143,1.1428571428571428
HOUSEHOLD_1_007,2016-05-22,1.48,6,5,2016,1.0,3.0,2.0,2.2142857142857144
HOUSEHOLD_1_011,2016-05-22,4.63,6,5,2016,4.0,1.0,1.1428571428571428,1.2142857142857142
HOBBIES_1_250,2016-05-22,4.88,6,5,2016,0.0,0.0,0.14285714285714285,0.21428571428571427
HOBBIES_2_100,2016-05-22,0.88,6,5,2016,1.0,0.0,0.42857142857142855,0.6785714285714286
